MSA,LAT,LON,Provider,Market Size,Number of Companies,Market Share,Defend $,Product,Exclusion,Included_In_Ranking,Provider_Ratio,Benchmark,Competitor_Ratio,Provider_Opportunity_Rank,Overall_Opportunity_Rank,Opportunity_Score,Opportunity_Category,Firm ID,Total_Weight,Number_of_Occurrences,Weighted_Average_Score
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,JPMorgan,331419363,2042,0.192,3251932,Credit_Cash_Management,True,False,,,,,,,,1804.0,373.1,51.0,4.292146877512731
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,MidFirst Bank,331419363,2042,0.051,0,Credit_Cash_Management,False,True,0.0,0.071946146,0.0,2.0,55.0,inf,Excellent,2174.0,49.67,5.0,4.763036037849808
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Northern Trust Bank,331419363,2042,0.001,0,Credit_Cash_Management,True,False,,,,,,,,,,,
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,PNC Bank,331419363,2042,0.137,3335648,Credit_Cash_Management,True,False,,,,,,,,2444.0,143.88,20.0,4.40943842090631
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,PayPal,331419363,2042,0.0,0,Credit_Cash_Management,True,False,,,,,,,,5894.0,58.129999999999995,7.0,4.253397557199381
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Square,331419363,2042,0.0,0,Credit_Cash_Management,True,False,,,,,,,,5895.0,20.6,2.0,2.5
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,UBS Warburg Dillon Read,331419363,2042,0.014,2636004,Credit_Cash_Management,True,False,,,,,,,,3151.0,11.72,2.0,3.5
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,UMB Bank,331419363,2042,0.101,0,Credit_Cash_Management,True,False,,,,,,,,3158.0,16.22,2.0,4.5
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,US Bank,331419363,2042,0.021,0,Credit_Cash_Management,True,False,,,,,,,,3141.0,225.45,35.0,4.450299401197604
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Wells Fargo,331419363,2042,0.183,5941640,Credit_Cash_Management,False,True,0.097966449,0.071946146,1.361663616,8.0,581.0,0.73439577,Fair,4839.0,319.32,49.0,4.021232619316047
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Zions Bank,331419363,2042,0.056,0,Credit_Cash_Management,False,True,0.0,0.071946146,0.0,1.0,45.0,inf,Excellent,3369.0,51.52,6.0,4.0
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Alerus Financial,3648450392,2042,0.018,0,Deposits,True,False,,,,,,,,5337.0,11.77,1.0,5.0
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Alliance Bank of Arizona,3648450392,2042,0.015,18809267,Deposits,False,True,0.343694171,0.107862359,3.186414377,7.0,587.0,0.313832378,Poor,5855.0,19.88,2.0,5.0
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,BMO,3648450392,2042,0.051,61124861,Deposits,True,False,,,,,,,,303.0,77.87,11.0,3.753948889174264
